Model / baseline,Regularized Elo,95% bootstrap CI,Pairwise comparisons,Observed pairwise win rate
Gemini 3 Flash Preview,1762.8960371954772,"[1680.4, 1861.0]",28,0.9285714285714286
GPT-5,1700.417850059835,"[1611.1, 1782.9]",20,0.85
Claude Opus 4,1613.3852816556139,"[1526.0, 1741.1]",8,0.875
Doubao Seed 2.0 Pro,1523.690147385638,"[1398.7, 1631.6]",24,0.5
Doubao Seed 2.0 Lite,1506.5808721015833,"[1426.1, 1572.4]",16,0.4375
GLM-4.7,1464.5555719248418,"[1381.6, 1574.0]",15,0.4666666666666667
DeepSeek V3.2,1455.27251581717,"[1403.3, 1503.5]",23,0.43478260869565216
GPT-4o Mini,1418.0863624874744,"[1281.9, 1576.0]",13,0.3076923076923077
Qwen Plus,1409.442621424658,"[1311.0, 1507.0]",18,0.3333333333333333
Rule Fair Trade,1391.157903675487,"[1310.4, 1444.5]",8,0.125
o3 Mini,1254.5148362722214,"[1134.3, 1384.9]",25,0.08
